RECEIVE: [message] 0; [global] 2018-03-03 13:26:53.408939; [queue length] 0; [logical clock time] 1
SEND: [global] 2018-03-03 13:26:53.816709; [recipient] 1; [queue length] 0; [logical clock time] 2
SEND: [global] 2018-03-03 13:26:54.222988; [recipient] 1; [queue length] 0; [logical clock time] 3
RECEIVE: [message] 1; [global] 2018-03-03 13:26:55.445238; [queue length] 0; [logical clock time] 4
SEND: [global] 2018-03-03 13:26:56.059680; [recipient] 1; [queue length] 0; [logical clock time] 5
SEND: [global] 2018-03-03 13:26:56.264996; [recipient] 0; [queue length] 0; [logical clock time] 6
SEND: [global] 2018-03-03 13:26:56.265031; [recipient] 1; [queue length] 0; [logical clock time] 6
SEND: [global] 2018-03-03 13:26:56.670388; [recipient] 0; [queue length] 0; [logical clock time] 7
SEND: [global] 2018-03-03 13:26:58.277562; [recipient] 1; [queue length] 0; [logical clock time] 8
SEND: [global] 2018-03-03 13:26:59.290328; [recipient] 0; [queue length] 0; [logical clock time] 9
SEND: [global] 2018-03-03 13:26:59.495173; [recipient] 0; [queue length] 0; [logical clock time] 10
SEND: [global] 2018-03-03 13:26:59.495227; [recipient] 1; [queue length] 0; [logical clock time] 10
SEND: [global] 2018-03-03 13:27:00.099398; [recipient] 1; [queue length] 0; [logical clock time] 11
SEND: [global] 2018-03-03 13:27:01.509088; [recipient] 0; [queue length] 0; [logical clock time] 12
SEND: [global] 2018-03-03 13:27:01.710328; [recipient] 0; [queue length] 0; [logical clock time] 13
SEND: [global] 2018-03-03 13:27:01.710362; [recipient] 1; [queue length] 0; [logical clock time] 13
SEND: [global] 2018-03-03 13:27:02.115500; [recipient] 1; [queue length] 0; [logical clock time] 14
SEND: [global] 2018-03-03 13:27:02.316111; [recipient] 0; [queue length] 0; [logical clock time] 15
SEND: [global] 2018-03-03 13:27:02.316147; [recipient] 1; [queue length] 0; [logical clock time] 15
